Gaze point: [-0.0402042, 0.578803]
Gaze point: [-0.16318, 0.567729]
Gaze point: [-0.239559, 0.561355]
Gaze point: [-0.280267, 0.565695]
Gaze point: [-0.301449, 0.561298]
Gaze point: [-0.315715, 0.560579]
Gaze point: [-0.32037, 0.558022]
Gaze point: [-0.322702, 0.550523]
Gaze point: [-0.324982, 0.547011]
Gaze point: [-0.327152, 0.546093]
Gaze point: [-0.328016, 0.543028]
Gaze point: [-0.328047, 0.536063]
Gaze point: [-0.328724, 0.531017]
Gaze point: [-0.328821, 0.532634]
Gaze point: [-0.328934, 0.536097]
Gaze point: [-0.329009, 0.537302]
Gaze point: [-0.329698, 0.535136]
Gaze point: [-0.329987, 0.53256]
Gaze point: [-0.327562, 0.531891]
Gaze point: [-0.32347, 0.530549]
Gaze point: [-0.318293, 0.529259]
Gaze point: [-0.312919, 0.530817]
Gaze point: [-0.307554, 0.532189]
Gaze point: [-0.301809, 0.533587]
Gaze point: [-0.296961, 0.537181]
Gaze point: [-0.293562, 0.538505]
Gaze point: [-0.290609, 0.540251]
Gaze point: [-0.287069, 0.540663]
Gaze point: [-0.283488, 0.540908]
Gaze point: [-0.28182, 0.539139]
Gaze point: [-0.278228, 0.537193]
Gaze point: [-0.268847, 0.531668]
Gaze point: [-0.264775, 0.530701]
Gaze point: [-0.261352, 0.529593]
Gaze point: [-0.259154, 0.530175]
Gaze point: [-0.257914, 0.531921]
Gaze point: [-0.255616, 0.530791]
Gaze point: [-0.243792, 0.527561]
Gaze point: [-0.229792, 0.527502]
Gaze point: [-0.21507, 0.523703]
Gaze point: [-0.202912, 0.522627]
Gaze point: [-0.195138, 0.523046]
Gaze point: [-0.190331, 0.525081]
Gaze point: [-0.185443, 0.527073]
Gaze point: [-0.174708, 0.531073]
Gaze point: [-0.161153, 0.532741]
Gaze point: [-0.148904, 0.531902]
Gaze point: [-0.13875, 0.530904]
Gaze point: [-0.129961, 0.52938]
Gaze point: [-0.123372, 0.526456]
Gaze point: [-0.119047, 0.521833]
Gaze point: [-0.115793, 0.519839]
Gaze point: [-0.113854, 0.518229]
Gaze point: [-0.107067, 0.519557]
Gaze point: [-0.0982457, 0.52478]
Gaze point: [-0.0889632, 0.528924]
Gaze point: [-0.0811361, 0.532148]
Gaze point: [-0.0762503, 0.533014]
Gaze point: [-0.0723121, 0.529405]
Gaze point: [-0.0691917, 0.524093]
Gaze point: [-0.0653766, 0.520507]
Gaze point: [-0.0595769, 0.518079]
Gaze point: [-0.048952, 0.516881]
Gaze point: [-0.0387383, 0.518369]
Gaze point: [-0.0302082, 0.516901]
Gaze point: [-0.0170135, 0.516696]
Gaze point: [-0.0122061, 0.517283]
Gaze point: [-0.00647199, 0.521809]
Gaze point: [-0.00519061, 0.522782]
Gaze point: [-0.00288844, 0.522684]
Gaze point: [-0.000757992, 0.526879]
Gaze point: [0.00139594, 0.529157]
Gaze point: [0.0035392, 0.530847]
Gaze point: [0.00904942, 0.531846]
Gaze point: [0.0175681, 0.533517]
Gaze point: [0.0264057, 0.534207]
Gaze point: [0.0345926, 0.534379]
Gaze point: [0.0407073, 0.536075]
Gaze point: [0.0455272, 0.534776]
Gaze point: [0.0488893, 0.535363]
Gaze point: [0.0513575, 0.537325]
Gaze point: [0.0550903, 0.537353]
Gaze point: [0.0651224, 0.53915]
Gaze point: [0.0776796, 0.542315]
Gaze point: [0.0887797, 0.546765]
Gaze point: [0.0967, 0.546707]
Gaze point: [0.10405, 0.548586]
Gaze point: [0.109721, 0.549643]
Gaze point: [0.113407, 0.547445]
Gaze point: [0.117279, 0.545496]
Gaze point: [0.129295, 0.54418]
Gaze point: [0.146641, 0.544369]
Gaze point: [0.162286, 0.547211]
Gaze point: [0.175259, 0.547651]
Gaze point: [0.185266, 0.542344]
Gaze point: [0.192362, 0.53914]
Gaze point: [0.198154, 0.536569]
Gaze point: [0.20286, 0.532691]
Gaze point: [0.205582, 0.528472]
Gaze point: [0.207746, 0.527778]
Gaze point: [0.210023, 0.528392]
Gaze point: [0.217426, 0.534056]
Gaze point: [0.22981, 0.535539]
Gaze point: [0.241224, 0.532937]
Gaze point: [0.256556, 0.534689]
Gaze point: [0.262573, 0.540209]
Gaze point: [0.266705, 0.541786]
Gaze point: [0.268687, 0.541577]
Gaze point: [0.273429, 0.540219]
Gaze point: [0.274359, 0.53678]
Gaze point: [0.274924, 0.5358]
Gaze point: [0.274938, 0.530819]
Gaze point: [0.27643, 0.53026]
Gaze point: [0.276567, 0.531489]
Gaze point: [0.283426, 0.497817]
Gaze point: [0.326853, 0.222294]
Gaze point: [0.380646, -0.2537]
Gaze point: [0.420354, -0.533094]
Gaze point: [0.444438, -0.645105]
Gaze point: [0.442662, -0.68422]
Gaze point: [0.436176, -0.681091]
Gaze point: [0.429422, -0.687046]
Gaze point: [0.420197, -0.691132]
Gaze point: [0.41321, -0.699228]
Gaze point: [0.409626, -0.698967]
Gaze point: [0.38849, -0.706912]
Gaze point: [0.360115, -0.712228]
Gaze point: [0.346477, -0.708056]
Gaze point: [0.329516, -0.720251]
Gaze point: [0.319403, -0.726329]
Gaze point: [0.317991, -0.729384]
Gaze point: [0.310045, -0.731411]
Gaze point: [0.323324, -0.733552]
Gaze point: [0.340309, -0.737253]
